Genome_ID, Total Reward
1,-17
2,-14
3,-17
4,4
5,-5
6,-16
7,-18
8,-18
9,-18
10,-19
11,-18
12,-1
13,-13
14,4
15,-16
16,-15
17,25
18,-20
19,-15
20,-10
21,-16
22,-17
23,-11
24,-15
25,-18
26,-18
27,29
28,-4
29,-18
30,-1
31,-16
32,-16
33,-16
34,-14
35,-16
36,-17
37,-19
38,0
39,-17
40,-18
41,-18
42,-2
43,-15
44,-20
45,-11
46,-16
47,-13
48,-16
49,-13
50,-20
51,-7
52,-15
53,-15
54,-9
55,-18
56,-12
57,-17
58,-18
59,-18
60,-19
61,-15
62,-19
63,-18
64,22
65,-8
66,-18
67,-14
68,-10
69,25
70,-15
71,-15
72,-17
73,-13
74,-18
75,-17
76,-14
77,-1
78,-2
79,24
80,-11
27,-12
17,-17
81,-16
82,22
83,-18
84,-15
85,-4
86,-1
87,22
88,-15
89,-15
90,21
91,-1
92,-9
93,-19
94,-20
95,-9
96,-16
97,-2
98,-1
99,22
100,-1
101,-6
102,21
103,-12
104,-8
105,-15
106,-14
107,-2
108,-13
109,20
110,-15
111,27
112,2
113,24
114,-17
115,22
116,-14
117,-16
118,-17
119,-18
120,31
121,22
122,-18
123,-17
124,34
125,-17
126,-14
127,30
128,-17
129,-15
130,-12
131,-4
132,26
133,-16
134,-17
135,-14
136,-16
137,-9
138,4
139,-14
140,-18
141,-1
142,-18
143,27
144,-2
145,-12
146,-15
147,-14
148,-17
149,-11
150,-15
151,26
152,-11
153,-11
154,-6
155,-11
156,25
157,-17
158,-16
124,1
120,35
159,-18
160,18
161,28
162,-18
163,-16
164,34
165,-12
166,-6
167,-19
168,3
169,-13
170,-17
171,-17
172,-14
173,23
174,-15
175,-12
176,24
177,34
178,-12
179,-1
180,-13
181,27
182,26
183,32
184,34
185,-17
186,34
187,-15
188,34
189,-11
190,-4
191,-17
192,-15
193,-5
194,-17
195,-16
196,-22
197,-16
198,34
199,24
200,31
201,-9
202,-9
203,-3
204,-13
205,-18
206,-19
207,1
208,-10
209,-16
210,-19
211,-16
212,-15
213,28
